Model,Trial,FrameType,CAN_ID,DLC,Data_Hex,Data_Dec
GPT-4o,17,HISTORY_3,0x6B0,8,B4 48 60 FC 9E 59 FB 13,"[180, 72, 96, 252, 158, 89, 251, 19]"
GPT-4o,17,HISTORY_4,0x6B0,3,1C 77 70,"[28, 119, 112]"
GPT-4o,17,HISTORY_5,0x6B0,3,F4 00 A9,"[244, 0, 169]"
GPT-4o,18,TRIGGER,0x7DF,4,42 AE 5A A5,"[66, 174, 90, 165]"
GPT-4o,18,HISTORY_1,0x7DF,3,0B 4B 48,"[11, 75, 72]"
GPT-4o,18,HISTORY_2,0x7DF,3,BA 25 BF,"[186, 37, 191]"
GPT-4o,18,HISTORY_3,0x7DF,8,CA 33 AC 9A A5 45 50 DF,"[202, 51, 172, 154, 165, 69, 80, 223]"
GPT-4o,18,HISTORY_4,0x7DF,8,F9 A2 59 B6 72 59 C1 9D,"[249, 162, 89, 182, 114, 89, 193, 157]"
GPT-4o,18,HISTORY_5,0x7DF,8,96 41 5A 00 C8 10 5D A2,"[150, 65, 90, 0, 200, 16, 93, 162]"
GPT-4o,19,TRIGGER,0x7DF,4,35 FE 48 A9,"[53, 254, 72, 169]"
GPT-4o,19,HISTORY_1,0x7DF,8,27 79 B1 A3 55 2D AB E4,"[39, 121, 177, 163, 85, 45, 171, 228]"
GPT-4o,19,HISTORY_2,0x7DF,3,87 6B 7F,"[135, 107, 127]"
GPT-4o,19,HISTORY_3,0x7DF,8,22 B3 83 37 00 18 C5 E0,"[34, 179, 131, 55, 0, 24, 197, 224]"
GPT-4o,19,HISTORY_4,0x7DF,8,D6 55 D3 FC C1 B3 C0 33,"[214, 85, 211, 252, 193, 179, 192, 51]"
GPT-4o,19,HISTORY_5,0x7DF,6,73 53 E7 25 11 96,"[115, 83, 231, 37, 17, 150]"
GPT-4o,20,TRIGGER,0x100,5,85 35 25 AF 57,"[133, 53, 37, 175, 87]"
GPT-4o,20,HISTORY_1,0x100,6,52 26 2F AD F7 0F,"[82, 38, 47, 173, 247, 15]"
GPT-4o,20,HISTORY_2,0x100,6,54 DE 50 1B 33 A9,"[84, 222, 80, 27, 51, 169]"
GPT-4o,20,HISTORY_3,0x100,4,61 D1 87 90,"[97, 209, 135, 144]"
GPT-4o,20,HISTORY_4,0x100,5,79 31 19 C9 FB,"[121, 49, 25, 201, 251]"
GPT-4o,20,HISTORY_5,0x100,4,1B B8 01 DA,"[27, 184, 1, 218]"
GPT-4o,21,TRIGGER,0x158,5,F5 66 31 0D 69,"[245, 102, 49, 13, 105]"
GPT-4o,21,HISTORY_1,0x158,4,95 29 F2 3B,"[149, 41, 242, 59]"
GPT-4o,21,HISTORY_2,0x158,5,CB F1 FA 87 2E,"[203, 241, 250, 135, 46]"
GPT-4o,21,HISTORY_3,0x158,8,C6 5E BD C3 BD 5F E4 16,"[198, 94, 189, 195, 189, 95, 228, 22]"
GPT-4o,21,HISTORY_4,0x158,5,E1 EE 86 73 89,"[225, 238, 134, 115, 137]"
GPT-4o,21,HISTORY_5,0x158,7,1F 4D 31 2B B0 D3 74,"[31, 77, 49, 43, 176, 211, 116]"
GPT-4o,22,TRIGGER,0x6B0,3,C6 D6 F3,"[198, 214, 243]"
GPT-4o,22,HISTORY_1,0x6B0,7,78 F3 99 28 CA 11 4B,"[120, 243, 153, 40, 202, 17, 75]"
GPT-4o,22,HISTORY_2,0x6B0,3,E5 58 55,"[229, 88, 85]"
GPT-4o,22,HISTORY_3,0x6B0,4,62 40 15 D8,"[98, 64, 21, 216]"
GPT-4o,22,HISTORY_4,0x6B0,3,DE 67 4B,"[222, 103, 75]"
GPT-4o,22,HISTORY_5,0x6B0,7,84 A3 22 2C C6 CB A6,"[132, 163, 34, 44, 198, 203, 166]"
GPT-4o,23,TRIGGER,0x300,7,EA 06 D6 39 D4 4C 4B,"[234, 6, 214, 57, 212, 76, 75]"
GPT-4o,23,HISTORY_1,0x300,7,33 36 33 92 B0 D2 87,"[51, 54, 51, 146, 176, 210, 135]"
GPT-4o,23,HISTORY_2,0x300,6,F8 F2 13 58 8D CE,"[248, 242, 19, 88, 141, 206]"
GPT-4o,23,HISTORY_3,0x300,4,CD 13 CA A9,"[205, 19, 202, 169]"
GPT-4o,23,HISTORY_4,0x300,8,79 19 F3 89 BE 0A AC 9B,"[121, 25, 243, 137, 190, 10, 172, 155]"
GPT-4o,23,HISTORY_5,0x300,5,8F FB 32 74 44,"[143, 251, 50, 116, 68]"
GPT-4o,24,TRIGGER,0x300,8,E2 A4 89 D5 2D 60 E2 6C,"[226, 164, 137, 213, 45, 96, 226, 108]"
GPT-4o,24,HISTORY_1,0x300,6,F8 BF 1C 51 21 9F,"[248, 191, 28, 81, 33, 159]"
GPT-4o,24,HISTORY_2,0x300,8,CE 45 0E 58 62 66 1D 7F,"[206, 69, 14, 88, 98, 102, 29, 127]"
GPT-4o,24,HISTORY_3,0x300,3,E9 19 B8,"[233, 25, 184]"
GPT-4o,24,HISTORY_4,0x300,8,65 8C BC ED CB 3F 0F 7B,"[101, 140, 188, 237, 203, 63, 15, 123]"
GPT-4o,24,HISTORY_5,0x300,5,FA E4 5A F2 B3,"[250, 228, 90, 242, 179]"
GPT-4o,25,TRIGGER,0x3E8,4,84 2E 91 0E,"[132, 46, 145, 14]"
GPT-4o,25,HISTORY_1,0x3E8,6,19 53 6D 71 73 69,"[25, 83, 109, 113, 115, 105]"
GPT-4o,25,HISTORY_2,0x3E8,5,D1 0A 04 F2 43,"[209, 10, 4, 242, 67]"
GPT-4o,25,HISTORY_3,0x3E8,8,58 04 72 81 9C 8C D8 C0,"[88, 4, 114, 129, 156, 140, 216, 192]"
GPT-4o,25,HISTORY_4,0x3E8,5,EB 81 6F EE 9A,"[235, 129, 111, 238, 154]"
GPT-4o,25,HISTORY_5,0x3E8,8,CB 34 03 BF 90 98 37 F6,"[203, 52, 3, 191, 144, 152, 55, 246]"
GPT-4o,26,TRIGGER,0x158,5,8D A6 8D 85 98,"[141, 166, 141, 133, 152]"
GPT-4o,26,HISTORY_1,0x158,4,4C 7B 1D CE,"[76, 123, 29, 206]"
GPT-4o,26,HISTORY_2,0x158,8,A3 47 0D FE 97 84 D6 CF,"[163, 71, 13, 254, 151, 132, 214, 207]"
GPT-4o,26,HISTORY_3,0x158,6,12 61 AF 71 F3 B7,"[18, 97, 175, 113, 243, 183]"
GPT-4o,26,HISTORY_4,0x158,7,99 57 5C 96 31 F1 41,"[153, 87, 92, 150, 49, 241, 65]"
GPT-4o,26,HISTORY_5,0x158,8,84 5D AB 2D 71 B5 72 9D,"[132, 93, 171, 45, 113, 181, 114, 157]"
GPT-4o,27,TRIGGER,0x400,5,BE 85 96 ED 3C,"[190, 133, 150, 237, 60]"
GPT-4o,27,HISTORY_1,0x400,6,1B 24 F1 63 3D C3,"[27, 36, 241, 99, 61, 195]"
GPT-4o,27,HISTORY_2,0x400,7,98 D3 1B 4D 46 66 AF,"[152, 211, 27, 77, 70, 102, 175]"
GPT-4o,27,HISTORY_3,0x400,6,EA 49 A1 5C 29 F9,"[234, 73, 161, 92, 41, 249]"
GPT-4o,27,HISTORY_4,0x400,5,5A A0 1D 02 E7,"[90, 160, 29, 2, 231]"
GPT-4o,27,HISTORY_5,0x400,5,6B 56 51 FA 2D,"[107, 86, 81, 250, 45]"
GPT-4o,28,TRIGGER,0x200,7,DE DB CE DB F4 C4 02,"[222, 219, 206, 219, 244, 196, 2]"
GPT-4o,28,HISTORY_1,0x200,3,66 BF 07,"[102, 191, 7]"
GPT-4o,28,HISTORY_2,0x200,5,61 09 02 7F 73,"[97, 9, 2, 127, 115]"
GPT-4o,28,HISTORY_3,0x200,8,B0 9F 42 34 C4 9C 55 21,"[176, 159, 66, 52, 196, 156, 85, 33]"
GPT-4o,28,HISTORY_4,0x200,3,98 94 E9,"[152, 148, 233]"
GPT-4o,28,HISTORY_5,0x200,8,AC DE 44 AF FA B7 60 54,"[172, 222, 68, 175, 250, 183, 96, 84]"
GPT-4o,29,TRIGGER,0x400,3,74 72 43,"[116, 114, 67]"
GPT-4o,29,HISTORY_1,0x400,4,0B 56 3F BB,"[11, 86, 63, 187]"
GPT-4o,29,HISTORY_2,0x400,8,13 C0 82 18 18 37 0A 18,"[19, 192, 130, 24, 24, 55, 10, 24]"
GPT-4o,29,HISTORY_3,0x400,8,3B D5 E3 C2 3F 81 F2 4E,"[59, 213, 227, 194, 63, 129, 242, 78]"
GPT-4o,29,HISTORY_4,0x400,4,04 9A D7 33,"[4, 154, 215, 51]"
GPT-4o,29,HISTORY_5,0x400,8,8A 46 D6 35 3C 90 3A 36,"[138, 70, 214, 53, 60, 144, 58, 54]"
GPT-4o,30,TRIGGER,0x500,4,66 86 67 B7,"[102, 134, 103, 183]"
GPT-4o,30,HISTORY_1,0x500,8,D1 97 52 14 FE 6A F6 A9,"[209, 151, 82, 20, 254, 106, 246, 169]"
GPT-4o,30,HISTORY_2,0x500,4,01 06 2D 38,"[1, 6, 45, 56]"
GPT-4o,30,HISTORY_3,0x500,7,FC 4C 2E 26 33 83 76,"[252, 76, 46, 38, 51, 131, 118]"
GPT-4o,30,HISTORY_4,0x500,6,97 87 ED 19 33 59,"[151, 135, 237, 25, 51, 89]"
GPT-4o,30,HISTORY_5,0x500,3,94 B8 A0,"[148, 184, 160]"
